"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
02912,"Kenai-Cook Inlet Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02916,"Kuskokwim Division, AK*",1,Personal income (thousands of dollars),(NA)
02916,"Kuskokwim Division, AK*",2,Population (persons) 1,(NA)
02916,"Kuskokwim Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02919,"Outer Ketchikan Division, AK*",1,Personal income (thousands of dollars),(NA)
02919,"Outer Ketchikan Division, AK*",2,Population (persons) 1,(NA)
02919,"Outer Ketchikan Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02920,"Prince of Wales Division, AK*",1,Personal income (thousands of dollars),(NA)
02920,"Prince of Wales Division, AK*",2,Population (persons) 1,(NA)
02920,"Prince of Wales Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02921,"Seward Division, AK*",1,Personal income (thousands of dollars),(NA)
02921,"Seward Division, AK*",2,Population (persons) 1,(NA)
02921,"Seward Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02922,"Sitka Division, AK*",1,Personal income (thousands of dollars),(NA)
02922,"Sitka Division, AK*",2,Population (persons) 1,(NA)
02922,"Sitka Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02923,"Skagway-Yakutat Division, AK*",1,Personal income (thousands of dollars),(NA)
02923,"Skagway-Yakutat Division, AK*",2,Population (persons) 1,(NA)
02923,"Skagway-Yakutat Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02924,"Southeast Fairbanks Division, AK*",1,Personal income (thousands of dollars),(NA)
02924,"Southeast Fairbanks Division, AK*",2,Population (persons) 1,(NA)
02924,"Southeast Fairbanks Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02925,"Upper Yukon Division, AK*",1,Personal income (thousands of dollars),(NA)
02925,"Upper Yukon Division, AK*",2,Population (persons) 1,(NA)
02925,"Upper Yukon Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",1,Personal income (thousands of dollars),(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",2,Population (persons) 1,(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02928,"Wrangell-Petersburg Division, AK*",1,Personal income (thousands of dollars),(NA)
02928,"Wrangell-Petersburg Division, AK*",2,Population (persons) 1,(NA)
02928,"Wrangell-Petersburg Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02929,"Yukon-Koyukuk Division, AK*",1,Personal income (thousands of dollars),(NA)
02929,"Yukon-Koyukuk Division, AK*",2,Population (persons) 1,(NA)
02929,"Yukon-Koyukuk Division, AK*",3,Per capita personal income (dollars) 2,(NA)
04001,"Apache, AZ",1,Personal income (thousands of dollars),3164216
04001,"Apache, AZ",2,Population (persons) 1,64800
04001,"Apache, AZ",3,Per capita personal income (dollars) 2,48830
04003,"Cochise, AZ",1,Personal income (thousands of dollars),6955647
04003,"Cochise, AZ",2,Population (persons) 1,125773
04003,"Cochise, AZ",3,Per capita personal income (dollars) 2,55303
04005,"Coconino, AZ",1,Personal income (thousands of dollars),9260436
04005,"Coconino, AZ",2,Population (persons) 1,145161
